id;rent-1 in €/m2;rent-2 in €/m2;rent-3 in €/m2;cap_rent in €/m2;cap_warm_rent in €/m2;c_comp in €/m2;c_comp_increase in -;En_Gas_cost in €/Wh;En_HP_cost in €/Wh;En_El_cost in €/Wh;c_misc in €;c_misc_ten in €/m2;p_loss in -;tense_market (bool)
1;8.95;8.73;8.6;9.98;12.21;8.65;0.056;;;;0;0;0.05;1
2;7.72;7.13;7.79;9.3;11.3;9.83;0.049;;;;0;0;0.05;1
3;9.03;8.89;9.21;10.26;12.7;10.1;0.044;;;;0;0;0.05;0
4;9.36;9.96;9.44;11.81;14.83;10.75;0.03;;;;0;0;0.05;0
5;11.17;10.67;10.46;13.05;15.71;11.26;0.045;;;;0;0;0.05;0
6;7.58;7.38;7.95;9.08;11.39;9.0;0.031;;;;0;0;0.05;1
7;10.54;10.5;10.2;12.57;14.7;10.69;0.031;;;;0;0;0.05;1
8;10.63;10.42;10.46;12.72;15.63;11.24;0.039;;;;0;0;0.05;0
9;7.79;7.57;7.0;8.57;11.79;8.85;0.052;;;;0;0;0.05;0
10;9.85;9.57;9.84;11.67;14.34;9.69;0.041;;;;0;0;0.05;1
11;8.53;8.44;8.6;10.05;12.26;10.95;0.048;;;;0;0;0.05;0
12;7.56;8.08;7.53;9.41;12.28;9.69;0.044;;;;0;0;0.05;1
13;10.36;10.87;11.36;13.01;15.54;11.95;0.04;;;;0;0;0.05;1
14;7.79;7.94;7.6;8.99;11.51;9.61;0.042;;;;0;0;0.05;0
15;10.12;10.31;9.42;11.39;14.88;10.9;0.053;;;;0;0;0.05;0
16;10.19;9.75;10.17;12.02;14.04;12.83;0.039;;;;0;0;0.05;1
17;7.99;7.99;8.65;10.27;13.65;9.15;0.034;;;;0;0;0.05;1
18;10.66;9.77;10.0;11.92;15.39;13.2;0.042;;;;0;0;0.05;0
19;7.7;7.99;7.42;8.87;11.61;10.02;0.057;;;;0;0;0.05;1
20;10.24;9.55;10.51;11.59;13.8;10.5;0.039;;;;0;0;0.05;0
21;7.59;7.92;8.14;9.35;11.42;9.53;0.043;;;;0;0;0.05;1
22;8.73;8.56;8.85;10.15;13.21;11.12;0.037;;;;0;0;0.05;1
23;7.16;7.03;7.72;9.11;11.15;7.34;0.03;;;;0;0;0.05;0
24;7.11;7.17;6.69;8.35;11.48;7.37;0.042;;;;0;0;0.05;1
25;10.9;10.13;10.51;12.63;15.33;12.0;0.054;;;;0;0;0.05;0
26;9.21;10.07;9.96;11.53;14.56;10.82;0.039;;;;0;0;0.05;1
27;7.85;8.47;8.82;10.22;12.23;9.22;0.034;;;;0;0;0.05;1
28;7.37;8.2;8.25;9.81;12.64;9.85;0.03;;;;0;0;0.05;0
29;8.0;8.6;8.65;9.71;12.83;9.94;0.042;;;;0;0;0.05;0
30;10.38;9.92;10.02;12.28;14.62;11.61;0.048;;;;0;0;0.05;0
31;8.11;8.52;8.49;9.59;12.64;8.76;0.037;;;;0;0;0.05;1
32;10.88;10.9;11.33;12.59;15.37;12.44;0.031;;;;0;0;0.05;0
33;9.41;9.81;9.17;11.66;13.78;11.0;0.047;;;;0;0;0.05;1
34;9.1;8.39;8.51;10.17;13.3;10.45;0.05;;;;0;0;0.05;1
35;8.99;8.91;8.65;10.59;13.55;11.39;0.043;;;;0;0;0.05;0
36;10.99;10.63;10.92;12.45;15.5;13.56;0.034;;;;0;0;0.05;1
37;8.31;7.66;7.94;9.75;12.33;9.17;0.057;;;;0;0;0.05;1
38;7.07;7.95;7.64;9.08;12.13;8.23;0.043;;;;0;0;0.05;1
39;10.53;10.8;10.79;12.49;14.78;12.57;0.041;;;;0;0;0.05;0
40;8.67;8.2;8.69;10.29;12.96;10.34;0.056;;;;0;0;0.05;0
41;9.83;10.2;10.33;11.53;14.43;12.75;0.047;;;;0;0;0.05;0
42;8.08;8.56;8.11;10.19;12.65;8.59;0.045;;;;0;0;0.05;1
43;10.8;10.6;10.88;12.42;15.39;13.88;0.051;;;;0;0;0.05;1
44;9.0;8.6;8.97;10.62;13.35;10.76;0.059;;;;0;0;0.05;1
45;9.95;10.43;10.42;11.77;13.92;11.23;0.04;;;;0;0;0.05;1
46;10.17;10.35;10.59;12.63;15.36;12.4;0.035;;;;0;0;0.05;0
47;9.99;9.41;9.2;11.23;13.45;12.24;0.031;;;;0;0;0.05;1
48;7.07;7.97;7.77;9.23;12.12;10.31;0.056;;;;0;0;0.05;1
49;9.49;9.71;9.47;11.53;14.86;11.15;0.045;;;;0;0;0.05;0
50;8.99;8.69;8.15;10.47;13.5;9.23;0.033;;;;0;0;0.05;1
