id;type;year;location;region;num;area;num_floors;num_flats;persons_per_appartment;ex_heat_prim;cap_heat_prim;ex_heat_sec;cap_heat_sec;ex_sto;cap_sto;ex_dhw_sto;cap_dhw_sto;sup_temp;area_solar;cap_solar;ex_wall;ex_win;ex_roof;ex_pv;ex_dis;roofs;rad_area;ex_wall_u;ex_win_u;ex_roof_u;yearly_el_demand;wall_age;windows_age;roof_age;heat_age;dhw_age;solar_age;storage_age;rad_age
1;MFH;1964;Aachen;0;1;502;4;6;2.2;boi_oil;36;None;0;None;0;tes_dhw;None;60;40;0;1;1;1;0;rad_11;(-5:30:50);800x500;None;None;None;25136;2001;2000;2014;1999;None;None;None;1970
2;MFH;2004;Aachen;0;1;530;2;6;1.9;boi_gas;25;None;0;None;0;tes_dhw;None;60;0;0;1;1;1;0;rad_11;(-5:30:50);800x500;None;None;None;22479;2004;2004;2004;2004;None;None;None;2004
3;MFH;2014;Aachen;0;1;508;4;6;2.1;boi_gas;24;None;0;None;0;tes_dhw;None;60;40;0;1;2;1;0;rad_11;(-5:30:50);800x500;None;None;None;24224;2014;2014;2014;2014;None;None;None;2014
4;MFH;2003;Aachen;0;1;1302;5;15;2.6;boi_gas;62;None;0;None;0;tes_dhw;None;60;0;0;1;2;1;0;rad_11;(-5:30:50);800x500;None;None;None;72816;2003;2003;2003;2003;None;None;None;2003
5;MFH;1970;Aachen;0;1;2131;7;25;2.2;boi_oil;153;None;0;None;0;tes_dhw;None;60;0;0;1;1;1;0;rad_11;(-5:30:50);800x500;None;None;None;105048;2007;2000;1999;2009;None;None;None;1970
6;MFH;2011;Aachen;0;1;1744;5;21;2.0;boi_gas;83;None;0;None;0;tes_dhw;None;60;40;0;1;1;1;0;rad_11;(-5:30:50);800x500;None;None;None;81152;2011;2011;2011;2011;None;None;None;2011
7;MFH;1975;Aachen;0;1;992;4;12;2.8;boi_gas;71;None;0;None;0;tes_dhw;None;60;40;0;1;1;2;0;rad_11;(-5:30:50);800x500;None;None;None;61696;2012;2015;2014;2006;None;None;None;1970
8;MFH;1971;Aachen;0;1;1442;6;17;3.1;boi_gas;103;None;0;None;0;tes_dhw;None;60;20;0;1;1;2;0;rad_11;(-5:30:50);800x500;None;None;None;95836;2003;2004;1998;2007;None;None;None;1970
9;MFH;1972;Aachen;0;1;1246;6;15;2.7;boi_oil;89;None;0;None;0;tes_dhw;None;60;20;0;1;1;2;0;rad_11;(-5:30:50);800x500;None;None;None;74768;2002;2002;2000;2004;None;None;None;1970
10;MFH;1960;Aachen;0;1;2375;8;28;2.7;boi_oil;171;None;0;None;0;tes_dhw;None;60;20;0;1;1;2;0;rad_11;(-5:30:50);800x500;None;None;None;139960;2008;2004;1997;2005;None;None;None;1970
11;MFH;1973;Aachen;0;1;1224;6;14;1.9;boi_gas;88;None;0;None;0;tes_dhw;None;60;0;0;1;1;2;0;rad_11;(-5:30:50);800x500;None;None;None;52352;2011;2007;2001;1999;None;None;None;1970
12;MFH;1964;Aachen;0;1;502;4;6;2.2;boi_oil;36;None;0;None;0;tes_dhw;None;60;40;0;1;1;1;0;rad_11;(-5:30:50);800x500;None;None;None;25136;1995;2001;2010;2002;None;None;None;1972
13;MFH;2013;Aachen;0;1;411;3;5;1.9;boi_gas;19;None;0;None;0;tes_dhw;None;60;0;0;1;1;2;0;rad_11;(-5:30:50);800x500;None;None;None;18488;2013;2013;2013;2013;None;None;None;2013
14;MFH;1951;Aachen;0;1;1823;6;21;2.7;boi_gas;131;None;0;None;0;tes_dhw;None;60;0;0;1;1;2;0;rad_11;(-5:30:50);800x500;None;None;None;105344;2013;2001;1998;2014;None;None;None;1970
15;MFH;1965;Aachen;0;1;463;4;5;3.0;boi_oil;33;None;0;None;0;tes_dhw;None;60;40;0;1;1;2;0;rad_11;(-5:30:50);800x500;None;None;None;27704;1998;2008;2005;2005;None;None;None;1970
